block_id,hour,lighting_score,police_stn_dist,past_incidents,crowd_density,risk_score
38,1,3,5.21,50,2,100.0
11,19,2,4.79,26,1,100.0
74,11,4,9.05,37,5,100.0
37,22,10,7.95,39,7,100.0
5,1,2,8.78,46,1,100.0
45,11,10,2.55,37,9,100.0
90,20,2,0.45,44,8,100.0
45,21,5,4.4,12,6,81.22
94,6,0,3.99,12,3,100.0
32,21,9,2.8,2,7,53.18
12,23,0,6.38,32,3,100.0
22,5,8,9.97,22,10,100.0
99,3,4,0.74,5,7,83.03
89,4,2,9.1,19,1,100.0
58,9,6,9.41,14,2,94.04
90,12,8,4.34,37,1,100.0
59,13,6,9.68,47,0,100.0
61,0,1,1.01,7,1,100.0
63,21,10,5.86,15,6,64.48
83,11,1,2.93,43,7,100.0
54,11,10,8.0,20,5,84.44
32,0,10,9.54,17,4,100.0
14,9,4,9.53,27,7,100.0
43,19,10,6.32,12,10,63.02
7,19,8,7.44,5,6,69.22
91,15,10,5.26,30,10,97.57
91,19,4,5.0,35,0,100.0
100,13,10,9.35,38,4,100.0
89,8,10,0.5,25,5,67.46
93,22,4,5.78,32,4,100.0
45,14,7,1.35,3,6,46.63
31,21,3,5.42,39,6,100.0
33,16,2,0.7,37,3,100.0
64,13,3,7.91,12,3,98.3
68,14,1,1.05,47,0,100.0
64,11,6,6.22,31,5,100.0
61,10,0,0.27,30,3,100.0
18,14,0,9.72,28,9,100.0
7,22,6,4.49,39,9,100.0
39,2,7,8.91,45,5,100.0
89,16,8,9.46,24,3,100.0
5,8,6,0.55,7,6,52.96
54,0,5,5.07,19,9,100.0
52,5,0,2.39,2,2,70.0
33,12,10,6.38,34,4,100.0
7,2,6,4.64,32,1,100.0
65,13,2,5.17,41,8,100.0
34,1,6,0.16,38,4,100.0
95,13,7,4.9,3,9,51.89
52,5,0,3.05,36,1,100.0
98,13,5,1.42,34,4,100.0
46,23,5,8.01,22,9,100.0
62,20,6,1.39,46,6,100.0
21,14,0,8.88,11,5,100.0
74,20,6,8.27,2,1,65.22
70,23,4,7.36,5,6,100.0
85,11,8,4.3,21,0,83.2
51,2,3,1.6,36,7,100.0
23,14,8,2.26,47,8,100.0
54,16,8,2.83,30,4,98.0
23,3,9,0.67,48,8,100.0
84,5,3,9.3,7,0,84.06
17,9,9,3.26,1,4,41.49
62,16,6,2.49,31,6,100.0
41,0,2,8.65,8,8,100.0
22,22,2,5.58,49,1,100.0
87,4,7,9.88,27,3,100.0
22,23,3,9.24,48,8,100.0
6,15,9,9.95,16,6,88.78
46,13,8,3.98,26,0,100.0
50,22,10,3.7,25,3,100.0
62,18,8,7.84,2,2,62.69
55,17,7,9.58,28,1,100.0
52,9,8,0.77,11,10,49.79
40,15,6,4.59,18,2,78.02
83,5,10,1.87,18,3,61.95
29,22,2,2.67,39,2,100.0
23,7,8,9.53,43,0,100.0
43,15,7,9.41,17,3,89.63
78,19,7,8.58,41,7,100.0
11,11,6,7.17,15,9,83.59
87,19,0,0.75,6,6,82.64
30,13,0,5.09,18,0,100.0
26,22,6,2.17,12,8,85.36
7,3,10,9.9,47,1,100.0
95,18,5,3.54,26,6,100.0
18,4,0,0.45,37,0,100.0
62,2,5,4.9,27,9,100.0
100,17,7,8.41,17,6,92.53
71,19,9,8.31,27,6,100.0
18,3,6,6.13,20,6,100.0
60,15,0,2.67,47,3,100.0
7,3,5,6.43,12,3,100.0
64,1,3,4.41,8,9,100.0
89,0,7,3.09,44,7,100.0
53,13,10,6.22,5,9,50.39
74,23,1,5.13,10,5,100.0
49,6,10,8.65,26,9,99.11
21,22,5,3.94,21,6,100.0
74,20,9,6.15,49,5,100.0
38,12,8,2.22,42,8,100.0
12,21,8,8.34,13,8,91.39
44,13,4,3.83,49,5,100.0
72,6,1,8.82,27,4,100.0
36,18,0,5.88,16,2,100.0
5,9,10,8.12,42,5,100.0
85,19,8,6.39,50,1,100.0
77,9,7,9.03,13,2,80.99
64,11,5,4.56,44,4,100.0
97,0,0,3.77,11,8,100.0
33,16,0,8.03,34,6,100.0
57,4,4,0.31,42,6,100.0
11,13,5,4.73,0,2,52.96
7,10,7,8.34,24,5,100.0
95,22,5,5.75,46,8,100.0
26,6,7,6.86,26,0,100.0
32,14,0,3.76,6,3,82.89
68,17,3,8.39,41,4,100.0
88,14,1,8.63,38,4,100.0
87,11,9,3.89,42,6,100.0
54,1,2,5.27,35,5,100.0
11,20,7,1.94,24,10,100.0
14,16,5,8.13,30,10,100.0
1,21,9,4.79,30,0,100.0
48,3,10,2.68,29,1,100.0
68,12,10,6.98,26,10,88.65
4,14,9,8.21,15,2,73.28
95,16,3,0.79,22,1,96.78
28,6,5,4.6,5,8,62.68
65,9,1,9.05,3,7,92.72
84,7,3,0.46,18,1,87.75
26,8,7,8.87,46,4,100.0
53,14,3,8.68,2,6,73.81
30,5,6,0.29,41,0,100.0
26,21,0,0.4,6,6,80.97
47,4,2,8.15,19,10,100.0
89,2,10,0.49,10,5,67.54
7,8,2,6.55,41,8,100.0
96,23,10,6.57,19,2,100.0
44,14,6,9.28,30,2,100.0
69,18,1,4.43,17,3,100.0
78,21,1,6.32,2,0,89.73
97,8,7,9.6,30,10,100.0
36,2,10,2.35,43,3,100.0
40,20,0,7.89,20,10,100.0
3,7,4,2.83,40,5,100.0
88,18,3,9.82,18,8,100.0
46,14,5,5.02,45,10,100.0
99,13,10,1.01,2,4,20.14
60,2,8,8.18,26,3,100.0
11,3,5,7.88,3,7,97.22
18,9,2,0.61,9,3,74.4
43,15,8,7.08,37,9,100.0
95,21,8,7.3,6,2,91.16
45,18,2,7.42,18,2,100.0
14,10,8,9.99,21,5,100.0
6,21,1,9.23,37,8,100.0
12,10,6,6.93,19,10,98.05
96,7,3,7.1,21,1,100.0
51,23,3,8.46,37,2,100.0
85,11,4,3.51,2,5,54.67
41,11,2,2.83,16,1,91.31
1,6,4,5.83,25,2,100.0
24,5,3,9.25,34,5,100.0
91,1,2,4.98,12,0,100.0
41,21,3,3.8,23,9,100.0
15,23,2,0.22,39,10,100.0
70,15,4,6.94,25,2,100.0
44,15,8,8.29,26,2,100.0
25,5,1,5.07,17,7,100.0
90,1,4,2.03,1,2,92.41
33,2,8,2.64,33,7,100.0
41,19,6,4.26,44,6,100.0
27,1,10,4.86,44,5,100.0
81,22,9,3.8,43,6,100.0
27,20,10,7.17,25,7,100.0
33,6,5,3.67,6,6,63.24
68,4,2,5.1,42,3,100.0
40,12,8,0.92,25,3,91.48
92,15,6,2.29,49,5,100.0
66,0,4,4.59,32,2,100.0
1,18,9,1.4,19,2,77.13
35,0,9,2.52,19,7,91.25
83,8,4,6.22,33,8,100.0
59,22,2,3.76,25,9,100.0
81,16,1,4.77,20,5,100.0
7,8,10,6.34,13,4,67.54
57,4,1,4.53,1,2,100.0
34,19,7,7.47,0,10,58.41
20,5,6,8.31,32,2,100.0
55,7,5,9.55,40,6,100.0
79,1,2,9.21,45,1,100.0
44,7,1,7.99,42,10,100.0
94,9,0,6.76,7,9,96.3
84,0,5,4.74,9,2,100.0
14,12,7,6.31,9,2,73.52
95,4,7,8.04,12,3,100.0
87,12,4,5.98,7,4,81.1
58,2,5,3.96,45,3,100.0
19,0,5,9.91,47,6,100.0
7,5,9,2.55,48,1,100.0
38,19,4,1.17,2,3,57.97
34,12,4,8.02,16,6,100.0
28,14,9,6.55,33,3,100.0
89,22,2,1.98,29,0,100.0
3,8,5,5.64,32,4,100.0
19,14,10,2.54,31,5,73.41
56,9,1,6.81,3,1,77.31
20,2,8,7.19,8,2,100.0
99,16,4,6.2,11,3,78.36
52,9,2,3.23,2,0,73.85
95,7,3,2.64,34,0,100.0
40,23,2,3.58,12,3,100.0
79,16,8,2.91,6,8,49.38
17,21,7,9.4,50,1,100.0
27,3,10,3.3,20,3,87.72
65,5,4,2.87,36,7,100.0
30,17,1,5.03,9,5,89.14
78,23,5,7.97,49,3,100.0
98,20,1,6.58,50,4,100.0
30,5,2,4.37,11,0,88.11
34,1,1,0.94,27,7,100.0
73,21,3,9.03,41,2,100.0
23,23,0,2.09,20,7,100.0
80,0,10,8.13,12,9,93.96
28,13,4,9.48,26,9,100.0
55,15,5,3.4,41,9,100.0
95,0,1,8.19,40,2,100.0
71,14,7,5.57,20,3,99.38
61,22,2,7.73,34,3,100.0
3,10,2,3.69,0,0,62.31
72,13,1,6.67,9,0,96.95
37,6,6,5.85,42,9,100.0
5,20,4,6.24,41,8,100.0
89,17,0,9.87,43,7,100.0
50,20,3,7.07,16,10,100.0
85,14,2,4.41,12,0,86.28
5,8,4,6.63,40,2,100.0
38,21,3,6.39,16,4,100.0
39,12,3,7.39,25,8,100.0
45,21,1,5.57,44,1,100.0
65,5,6,7.12,15,3,88.9
80,2,1,2.33,35,0,100.0
12,21,0,4.48,7,9,100.0
9,22,0,0.17,13,0,100.0
13,12,9,6.65,1,4,43.15
33,4,0,3.79,28,10,100.0
70,9,10,8.83,29,3,100.0
60,2,8,9.16,21,1,100.0
82,23,2,9.35,38,8,100.0
54,9,9,5.52,8,0,62.95
99,12,7,9.74,26,4,100.0
53,20,9,8.72,12,3,86.9
10,21,6,0.54,21,6,88.61
81,13,6,9.49,36,0,100.0
70,12,7,7.59,10,9,80.26
62,16,4,8.73,36,9,100.0
66,11,9,5.61,0,5,44.9
90,15,0,8.68,39,3,100.0
59,21,2,3.21,11,9,93.74
77,1,0,4.21,27,10,100.0
11,5,7,9.19,30,7,100.0
44,7,3,1.72,30,0,100.0
85,21,3,4.6,45,5,100.0
93,1,3,6.94,36,9,100.0
3,1,4,0.93,16,6,100.0
14,23,5,5.42,17,8,100.0
74,18,9,3.01,1,6,55.49
58,7,1,5.93,33,2,100.0
7,21,8,2.26,47,3,100.0
52,18,1,3.76,6,9,95.07
93,1,8,4.8,46,2,100.0
83,23,4,3.9,3,8,89.82
73,7,5,8.59,18,4,100.0
18,1,4,6.26,6,7,99.72
100,16,7,3.42,25,8,87.77
48,8,4,5.9,11,2,84.08
86,8,6,9.14,24,10,100.0
30,18,3,2.38,26,1,100.0
59,2,7,7.96,31,9,100.0
69,3,5,9.81,42,3,100.0
4,12,8,4.65,36,1,100.0
95,19,7,3.98,17,7,90.0
8,17,6,2.84,31,6,100.0
4,5,10,7.35,2,7,41.94
21,17,0,0.75,30,10,100.0
77,10,5,3.09,25,5,100.0
72,10,2,5.43,12,1,89.76
36,11,7,2.85,26,1,90.19
77,6,0,2.37,35,3,100.0
66,19,6,7.95,15,10,92.61
10,21,1,1.37,45,6,100.0
66,3,2,4.71,41,5,100.0
21,14,9,0.95,0,8,25.78
12,22,0,2.89,39,4,100.0
2,23,8,4.98,50,6,100.0
44,16,1,1.56,2,3,68.97
73,23,0,2.23,7,2,100.0
25,2,3,8.05,16,0,100.0
36,16,2,2.2,15,0,83.59
76,23,3,7.11,23,3,100.0
39,10,2,1.02,24,10,100.0
24,15,3,8.62,25,7,100.0
89,8,0,9.74,4,8,93.08
51,2,1,3.07,44,1,100.0
87,22,5,5.08,31,4,100.0
43,18,6,8.56,12,8,95.14
5,9,2,3.98,33,0,100.0
5,6,3,4.84,28,1,100.0
93,21,9,9.87,32,7,100.0
33,17,10,6.86,42,5,100.0
46,4,0,0.78,21,5,100.0
36,18,8,8.9,48,10,100.0
51,13,10,5.51,20,8,72.66
56,18,0,3.49,26,2,100.0
50,22,7,7.27,10,2,100.0
64,3,9,5.83,48,10,100.0
3,16,3,0.35,38,10,100.0
42,7,3,5.42,30,2,100.0
32,22,6,5.33,5,6,83.15
53,21,9,9.47,5,10,76.77
51,18,6,8.81,40,7,100.0
3,16,0,2.21,36,6,100.0
41,8,6,1.53,18,1,72.55
56,11,3,3.57,21,8,96.51
96,11,5,3.66,0,9,47.98
13,3,2,4.8,25,7,100.0
67,2,8,7.23,21,3,100.0
89,22,10,2.72,43,9,100.0
41,23,2,9.71,45,6,100.0
80,10,5,3.84,4,0,61.23
62,16,7,6.61,39,1,100.0
57,7,3,1.5,14,3,85.25
73,10,1,3.31,50,7,100.0
86,3,2,6.78,7,3,100.0
30,14,6,8.68,15,0,94.5
13,19,7,2.58,38,2,100.0
76,5,1,1.76,14,3,98.44
76,18,10,8.8,40,0,100.0
50,7,10,7.33,19,9,77.64
30,20,4,4.56,11,1,81.11
95,8,9,3.82,13,9,68.23
46,11,10,1.93,23,9,71.22
44,19,8,2.76,47,5,100.0
47,22,1,7.12,5,1,100.0
46,18,1,7.21,2,4,88.63
12,6,10,7.69,14,4,71.1
72,10,7,7.83,50,3,100.0
45,20,10,7.44,1,9,52.07
52,9,5,1.51,34,5,100.0
89,15,2,8.95,38,7,100.0
75,8,9,2.14,16,1,61.71
31,9,9,7.8,12,8,72.0
100,23,6,6.96,37,9,100.0
81,14,10,3.43,20,10,73.85
84,7,7,6.35,28,0,100.0
40,6,9,5.24,7,0,46.05
25,20,7,1.39,5,7,62.56
73,21,3,9.89,32,10,100.0
3,17,7,1.63,2,2,37.15
44,1,6,0.58,49,5,100.0
75,1,10,9.49,35,9,100.0
45,21,8,1.92,39,3,100.0
83,23,7,5.05,2,8,76.49
92,23,6,6.45,22,2,100.0
30,2,0,4.41,34,10,100.0
33,2,0,7.97,9,4,100.0
2,13,7,4.99,7,8,65.83
98,11,8,8.56,19,5,94.91
36,2,3,1.34,36,1,100.0
35,3,5,4.07,41,0,100.0
15,9,3,5.34,17,0,100.0
26,3,2,1.3,0,10,86.19
13,19,6,3.8,26,10,100.0
51,21,1,8.97,5,7,96.99
12,17,6,9.84,1,5,57.32
67,14,1,1.38,26,7,100.0
78,11,3,2.72,16,2,91.75
64,8,1,1.45,32,2,100.0
46,19,7,2.94,0,10,51.19
42,9,7,1.4,19,5,82.34
44,1,1,0.72,36,9,100.0
29,10,3,9.24,9,10,85.2
35,11,3,7.56,40,3,100.0
76,23,4,4.74,41,10,100.0
28,21,10,6.86,3,0,56.42
60,3,6,6.79,43,8,100.0
66,1,0,3.39,24,5,100.0
89,23,4,4.56,20,8,100.0
58,13,4,7.36,23,10,100.0
18,2,4,2.99,2,4,83.8
81,2,5,8.07,47,7,100.0
50,17,8,7.96,7,7,63.31
62,0,8,5.62,2,7,68.56
68,13,6,8.47,39,0,100.0
44,16,7,7.73,44,7,100.0
7,4,5,1.94,24,3,100.0
65,4,4,5.27,14,10,100.0
60,0,2,0.14,17,9,100.0
33,9,3,4.53,31,2,100.0
88,19,8,3.38,28,9,100.0
73,14,3,3.54,45,5,100.0
46,19,3,1.5,4,2,67.73
51,2,10,9.14,19,3,100.0
69,12,2,7.3,36,0,100.0
14,13,2,7.62,47,9,100.0
35,22,2,9.73,36,3,100.0
51,22,7,8.2,14,10,100.0
61,14,9,0.79,48,6,100.0
12,20,7,1.81,18,10,82.33
96,17,1,2.96,3,3,73.95
61,12,10,2.81,39,8,100.0
95,17,8,5.84,9,7,60.87
45,11,10,2.55,44,0,100.0
94,21,8,9.48,16,5,97.06
61,8,0,5.81,24,7,100.0
58,7,4,4.72,29,7,100.0
36,9,2,8.23,49,6,100.0
49,8,2,1.97,18,9,100.0
27,13,1,6.71,7,4,88.88
18,7,8,7.89,23,0,100.0
6,8,7,5.02,19,8,86.62
3,11,5,3.42,14,8,93.65
67,0,10,0.76,13,1,93.88
43,4,7,8.25,37,8,100.0
96,17,7,8.81,35,1,100.0
84,20,7,8.04,10,6,78.09
74,2,9,3.91,33,0,100.0
57,2,6,9.6,22,7,100.0
53,3,9,7.95,35,10,100.0
16,11,0,6.48,11,5,98.21
56,15,4,9.49,33,3,100.0
86,2,3,9.89,25,0,100.0
77,5,0,5.16,14,4,100.0
15,19,2,9.78,7,1,100.0
55,9,10,1.82,38,3,100.0
55,18,8,8.45,8,2,79.74
24,0,0,1.27,23,3,100.0
8,11,1,4.44,21,10,100.0
77,9,1,0.17,2,6,63.2
98,22,1,9.59,36,9,100.0
54,20,4,9.29,40,9,100.0
57,3,10,4.53,21,4,96.21
67,21,7,7.64,30,9,100.0
51,15,4,3.86,9,10,78.21
49,20,0,3.43,22,7,100.0
66,5,3,1.36,1,9,47.09
90,13,3,7.93,5,3,84.6
80,22,5,3.81,42,4,100.0
96,9,10,3.62,15,2,58.42
67,23,3,0.47,50,1,100.0
84,18,9,3.02,42,7,100.0
2,5,9,3.42,20,0,74.5
55,2,1,9.69,11,7,100.0
83,4,1,0.47,1,7,85.76
13,21,4,0.34,21,0,96.77
66,0,8,1.4,7,2,85.01
78,0,8,3.69,45,4,100.0
70,5,8,9.86,36,1,100.0
19,17,9,0.87,12,6,54.39
41,21,2,0.31,7,9,79.43
6,7,4,3.33,6,6,61.1
43,0,1,7.72,39,4,100.0
12,14,0,4.05,18,5,100.0
43,19,2,7.55,29,0,100.0
16,10,10,7.7,13,6,71.82
19,20,4,1.29,25,6,100.0
28,14,5,6.77,8,5,79.16
40,3,8,1.6,43,6,100.0
10,15,3,8.29,30,3,100.0
87,1,0,3.63,19,0,100.0
76,3,4,9.77,40,3,100.0
61,20,10,3.8,26,7,94.7
72,9,2,1.98,39,10,100.0
57,15,8,6.57,13,2,76.9
15,10,2,4.82,4,5,66.15
57,5,9,3.46,24,1,82.05
78,23,5,8.46,13,10,100.0
20,9,0,1.99,13,3,88.71
67,9,8,6.99,33,2,100.0
80,2,8,4.42,25,0,100.0
37,21,9,6.55,36,8,100.0
53,12,10,2.82,39,9,100.0
36,13,7,6.44,0,4,48.44
95,20,4,1.91,15,10,93.91
92,12,0,9.81,29,0,100.0
6,14,7,0.13,4,3,43.04
77,11,4,7.91,12,3,98.94
99,21,6,2.69,37,10,100.0
54,2,0,3.78,13,3,100.0
1,14,2,3.89,48,8,100.0
75,14,8,1.67,24,3,79.99
43,6,8,5.51,49,0,100.0
78,9,10,7.41,37,1,100.0
75,15,10,1.1,40,7,100.0
86,14,2,0.32,41,5,100.0
58,6,8,8.18,31,7,100.0
13,8,9,8.26,33,10,100.0
40,5,7,6.98,19,10,92.63
37,22,2,8.18,11,10,100.0
65,19,8,6.99,18,8,92.53
23,2,9,3.36,45,5,100.0
43,1,5,3.49,23,6,100.0
44,10,10,4.4,6,1,43.1
21,13,8,6.29,37,9,100.0
5,1,4,8.05,38,1,100.0
98,14,6,5.57,9,8,75.07
91,22,6,8.62,7,4,99.23
54,4,6,5.43,21,2,100.0
9,16,1,9.45,46,0,100.0
83,13,1,4.75,4,4,68.06
85,0,5,8.18,2,8,88.5
30,10,3,9.05,32,1,100.0
15,0,0,9.89,50,2,100.0
37,1,8,3.21,2,8,66.72
1,21,0,1.35,10,7,100.0
30,6,4,5.9,32,9,100.0
34,7,5,5.05,30,6,100.0
43,15,0,1.81,29,6,100.0
84,7,8,5.58,26,10,85.68
53,14,9,6.25,30,7,100.0
57,9,9,3.04,14,7,64.97
7,23,2,7.81,31,9,100.0
56,0,9,6.15,34,0,100.0
83,10,0,5.98,28,3,100.0
86,5,3,2.36,44,1,100.0
84,3,7,8.03,40,1,100.0
77,11,4,2.75,19,2,100.0
62,20,9,0.81,33,7,100.0
79,9,8,3.21,23,5,84.87
11,17,0,8.27,7,1,96.51
36,11,9,3.52,2,10,34.31
49,20,0,6.48,16,3,100.0
53,8,4,3.04,6,10,60.84
76,15,2,3.88,1,6,66.0
86,11,0,3.83,50,10,100.0
49,0,3,2.06,18,4,100.0
54,20,2,9.63,37,2,100.0
30,22,1,3.71,29,3,100.0
85,2,0,7.29,20,4,100.0
42,4,8,8.12,5,4,86.01
54,0,5,0.37,8,9,77.22
85,5,7,8.88,45,8,100.0
18,5,7,4.03,19,8,83.98
43,2,1,9.49,50,9,100.0
8,17,6,2.08,11,0,59.63
66,5,0,1.58,6,7,81.09
94,9,0,4.26,48,2,100.0
88,6,7,8.89,25,8,100.0
46,6,8,9.27,49,7,100.0
93,14,10,0.6,2,1,21.93
9,3,5,3.97,38,7,100.0
62,3,1,9.02,49,2,100.0
100,4,4,6.2,50,10,100.0
6,16,4,9.64,4,4,84.19
12,9,7,3.97,22,2,87.63
60,22,0,9.38,39,7,100.0
22,11,9,4.1,43,8,100.0
25,5,7,0.25,50,0,100.0
32,18,8,5.92,14,7,84.41
75,21,7,2.0,9,4,66.55
27,1,2,5.86,40,2,100.0
7,3,0,7.43,8,5,100.0
33,6,7,0.75,32,9,99.37
48,20,10,9.09,17,9,87.32
48,20,0,6.45,7,2,100.0
44,10,5,5.03,25,6,100.0
83,9,6,7.26,39,10,100.0
68,19,7,1.37,35,5,100.0
77,1,0,2.78,11,3,100.0
6,12,10,2.88,30,6,83.69
10,2,6,9.76,21,7,100.0
33,17,4,7.96,34,10,100.0
27,9,2,7.27,24,10,100.0
89,13,8,4.05,5,9,41.69
21,22,8,1.4,4,1,87.85
38,0,1,2.87,14,5,100.0
61,4,2,6.61,44,7,100.0
83,11,1,1.01,44,2,100.0
100,7,4,4.86,39,9,100.0
69,14,6,0.65,6,10,54.07
14,6,9,6.89,2,9,49.04
84,11,0,3.64,31,5,100.0
95,21,3,1.29,21,6,97.39
15,22,0,9.02,32,7,100.0
61,21,4,3.8,44,6,100.0
36,1,2,4.65,49,7,100.0
39,9,8,5.87,17,5,72.09
64,3,4,6.15,44,5,100.0
29,4,7,7.51,8,9,94.17
82,2,9,1.21,17,1,88.15
40,3,8,7.08,20,7,100.0
93,19,1,5.78,42,1,100.0
56,21,2,5.03,9,0,98.57
75,8,8,8.47,9,4,80.65
9,23,7,0.83,17,7,99.12
71,18,3,2.71,21,10,100.0
21,14,5,5.33,43,4,100.0
42,20,3,1.61,43,9,100.0
78,4,6,6.65,40,8,100.0
87,11,4,1.7,21,2,91.17
5,2,2,3.51,11,9,100.0
89,8,4,3.6,42,10,100.0
33,12,8,4.33,28,5,96.27
38,13,9,1.43,21,4,67.42
2,16,7,3.12,13,6,64.63
67,11,9,9.99,47,6,100.0
87,2,6,4.92,15,3,100.0
79,3,8,7.65,24,3,100.0
1,9,10,9.48,46,10,100.0
32,18,9,9.77,26,9,100.0
15,7,8,0.25,4,6,44.27
3,21,0,6.77,42,1,100.0
42,9,7,9.92,21,2,100.0
95,21,3,4.62,32,2,100.0
55,13,7,4.48,39,8,100.0
96,14,8,9.73,12,8,79.48
49,14,6,8.98,1,4,63.08
11,17,5,2.51,32,8,100.0
22,9,4,3.2,31,3,100.0
73,14,4,1.92,18,0,80.21
67,8,2,4.6,43,6,100.0
81,22,9,7.15,49,2,100.0
50,2,8,1.6,17,8,98.16
82,9,5,1.43,38,5,100.0
5,5,6,3.95,38,4,100.0
55,23,7,8.64,30,10,100.0
39,0,7,0.27,15,9,90.26
14,0,3,1.78,1,4,74.23
61,11,6,4.78,49,1,100.0
98,3,8,3.15,14,0,100.0
43,13,8,4.56,45,1,100.0
83,7,1,0.94,48,3,100.0
36,1,6,3.02,1,2,89.28
45,7,0,5.27,19,6,100.0
37,0,2,9.48,12,2,100.0
37,13,5,6.14,26,1,100.0
68,14,3,7.94,15,5,100.0
35,11,4,6.76,37,8,100.0
69,19,10,2.31,15,5,65.38
23,18,8,2.88,27,4,100.0
35,6,5,7.81,37,10,100.0
33,1,10,8.96,29,5,100.0
80,7,9,2.6,13,3,56.88
33,6,7,2.55,41,1,100.0
100,2,10,9.06,15,4,100.0
56,10,9,5.44,4,6,44.8
50,3,4,9.72,10,9,100.0
23,2,0,6.95,45,4,100.0
11,19,1,4.21,4,10,89.66
30,20,1,0.7,10,3,81.7
21,4,1,7.13,18,9,100.0
51,4,4,9.92,49,1,100.0
50,23,2,2.55,18,8,100.0
64,23,6,2.91,21,0,100.0
30,8,3,8.25,25,0,100.0
2,22,3,6.31,31,0,100.0
8,6,10,2.05,3,1,34.15
41,10,0,6.92,27,3,100.0
12,0,10,8.32,37,0,100.0
3,13,10,5.87,14,9,66.18
78,0,2,4.86,36,10,100.0
41,11,4,8.37,50,6,100.0
30,2,3,4.47,41,0,100.0
11,11,9,5.77,7,3,56.85
62,6,8,6.71,45,5,100.0
24,21,8,2.21,49,10,100.0
13,1,0,4.69,1,2,100.0
30,18,1,5.38,1,4,84.99
17,9,0,1.05,39,3,100.0
65,5,8,3.7,45,5,100.0
62,19,7,5.64,29,6,100.0
91,1,3,9.74,27,5,100.0
54,17,6,3.65,5,7,53.06
48,10,9,5.28,12,9,64.82
2,5,4,7.69,37,1,100.0
66,10,6,2.25,22,0,88.79
99,11,1,0.52,13,7,75.05
61,8,10,1.31,16,3,61.08
95,9,3,0.2,11,3,72.96
30,7,10,9.13,0,3,48.67
82,11,7,4.48,7,7,64.35
5,7,9,1.83,23,0,83.82
70,14,4,5.66,35,9,100.0
18,20,8,8.44,9,1,72.12
94,23,1,8.53,38,7,100.0
39,7,1,0.36,40,0,100.0
14,12,9,2.83,45,0,100.0
23,0,9,2.03,29,7,100.0
89,10,8,2.4,38,9,100.0
79,0,2,4.77,20,10,100.0
77,20,2,8.46,30,10,100.0
23,8,4,8.48,27,3,100.0
59,12,3,3.93,6,6,64.76
89,18,5,5.56,30,0,100.0
41,21,0,1.13,0,2,66.63
1,14,3,0.67,9,2,63.13
86,12,9,9.91,49,6,100.0
23,13,8,8.67,41,4,100.0
2,2,8,0.74,44,1,100.0
19,9,10,0.43,13,3,49.76
9,17,9,2.86,23,10,79.5
74,14,6,4.69,36,4,100.0
63,9,6,0.86,33,1,100.0
23,20,2,0.94,17,10,95.94
93,10,2,3.6,20,2,100.0
92,4,0,6.81,37,7,100.0
81,11,0,4.06,42,10,100.0
10,13,0,3.47,17,5,100.0
68,7,4,4.9,36,7,100.0
99,16,1,3.21,26,3,100.0
21,19,4,0.51,9,2,82.38
25,15,1,1.42,4,7,65.13
88,19,9,6.36,31,1,100.0
99,13,9,7.46,42,8,100.0
34,7,0,3.44,5,9,77.51
39,6,8,3.97,0,8,43.07
